,Country,ID,Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
174,BE,1195755,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
175,BE,1195763,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
176,BE,1195771,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
177,BE,1195781,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
178,FR,4359656,Opel,M1,M1,1394.0,140.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
179,FR,4359663,Opel,M1,M1,1394.0,140.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
180,FR,4359669,Opel,M1,M1,1394.0,140.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
181,FR,4359676,Opel,M1,M1,1394.0,140.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
182,FR,4359684,Opel,M1,M1,1409.0,149.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
183,FR,4359690,Opel,M1,M1,1394.0,140.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
184,FR,4359698,Opel,M1,M1,1394.0,140.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
185,FR,4359703,Opel,M1,M1,1445.0,152.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
186,FR,4318244,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
187,FR,4317400,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
188,FR,4319114,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
189,FR,4319188,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
190,FR,4317741,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
191,FR,4317571,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
192,FR,4318626,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
193,FR,4318658,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
194,FR,4318044,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
195,FR,4317676,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
196,FR,4318019,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
197,FR,4318620,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
198,FR,4317733,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
199,FR,4317641,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
200,FR,4317757,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
201,FR,4317778,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
202,FR,4317872,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
203,FR,4317797,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
204,FR,4317803,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
205,FR,4317866,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
206,FR,4317816,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
207,FR,4317935,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
208,FR,4318988,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
209,FR,4317510,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
210,FR,4319026,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
211,FR,4319019,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
212,FR,4317528,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
213,FR,4319010,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
214,FR,4318162,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
215,FR,4318111,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
216,FR,4317700,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
217,FR,4317487,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
218,FR,4317578,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
219,FR,4318980,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
220,FR,4317595,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
221,FR,4318591,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
222,FR,4318964,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
223,FR,4318139,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
224,FR,4318129,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
225,FR,4317549,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
226,FR,4317123,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
227,FR,4317116,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
228,FR,4317170,Seat,M1,M1,1089.0,116.0,2469.0,1465.0,1457.0,Petrol,M,1197.0,66.0
